성별,나이,직업,이용 횟수,호선,지불방법
남성,30대,회사원,54,1호선,현금
남성,20대,회사원,2,2호선,신용카드
여성,30대,무직,82,9호선,현금
여성,20대,자영업,63,9호선,현금
남성,30대,기타,44,9호선,교통카드
남성,50대,회사원,27,7호선,신용카드
남성,50대,기타,51,7호선,신용카드
여성,40대,무직,53,4호선,신용카드
남성,20대,무직,29,1호선,신용카드
여성,40대,자영업,65,1호선,신용카드
여성,40대,회사원,50,7호선,현금
여성,40대,회사원,80,3호선,현금
여성,20대,자영업,16,1호선,교통카드
여성,60대 이상,회사원,80,1호선,교통카드
여성,40대,기타,40,9호선,현금
남성,10대,기타,7,2호선,현금
여성,10대,무직,78,7호선,현금
여성,30대,자영업,20,2호선,현금
남성,40대,무직,40,4호선,교통카드
여성,20대,학생,43,5호선,교통카드
남성,20대,학생,83,3호선,교통카드
남성,40대,자영업,75,2호선,교통카드
남성,20대,자영업,3,6호선,현금
남성,50대,학생,16,6호선,교통카드
여성,40대,회사원,64,3호선,현금
여성,20대,기타,55,2호선,현금
남성,40대,학생,60,5호선,현금
여성,30대,자영업,51,4호선,신용카드
남성,40대,자영업,11,2호선,교통카드
남성,20대,무직,37,5호선,현금
여성,60대 이상,회사원,38,6호선,신용카드
남성,20대,무직,8,8호선,신용카드
여성,40대,회사원,54,1호선,교통카드
남성,20대,학생,62,4호선,신용카드
여성,60대 이상,학생,20,4호선,교통카드
남성,20대,무직,62,6호선,신용카드
여성,60대 이상,기타,30,1호선,교통카드
여성,40대,무직,51,9호선,신용카드
여성,50대,자영업,77,4호선,교통카드
남성,60대 이상,자영업,49,7호선,교통카드
남성,30대,학생,68,8호선,교통카드
남성,40대,회사원,66,1호선,현금
남성,10대,기타,21,9호선,신용카드
여성,50대,기타,84,2호선,교통카드
남성,50대,무직,46,2호선,교통카드
여성,50대,무직,93,9호선,교통카드
여성,30대,회사원,99,6호선,신용카드
여성,20대,학생,11,4호선,현금
여성,30대,무직,63,2호선,교통카드
남성,10대,학생,13,6호선,신용카드
남성,20대,회사원,89,7호선,교통카드
남성,50대,자영업,63,9호선,교통카드
여성,40대,무직,68,5호선,현금
여성,30대,회사원,7,8호선,교통카드
여성,40대,무직,63,7호선,신용카드
여성,20대,무직,89,8호선,신용카드
남성,50대,무직,59,1호선,현금
여성,10대,자영업,5,3호선,교통카드
여성,20대,학생,3,3호선,교통카드
남성,30대,학생,4,4호선,교통카드
여성,60대 이상,무직,2,1호선,현금
여성,40대,기타,22,5호선,신용카드
여성,20대,무직,72,7호선,교통카드
남성,40대,무직,67,5호선,현금
남성,50대,자영업,10,5호선,신용카드
여성,20대,학생,51,4호선,현금
남성,30대,무직,18,2호선,현금
남성,60대 이상,기타,20,1호선,교통카드
여성,40대,기타,72,3호선,신용카드
여성,50대,자영업,75,5호선,신용카드
여성,30대,학생,76,9호선,현금
여성,20대,학생,37,5호선,현금
남성,30대,기타,6,6호선,신용카드
여성,40대,무직,58,6호선,교통카드
남성,30대,회사원,77,7호선,현금
남성,20대,기타,92,8호선,현금
남성,50대,무직,18,7호선,현금
남성,60대 이상,자영업,82,5호선,교통카드
여성,30대,학생,1,4호선,신용카드
여성,20대,회사원,86,9호선,현금
여성,40대,무직,26,1호선,현금
남성,50대,학생,1,9호선,현금
남성,20대,기타,36,1호선,교통카드
남성,50대,무직,39,9호선,현금
남성,10대,회사원,71,4호선,신용카드
여성,10대,무직,55,8호선,신용카드
여성,60대 이상,회사원,56,2호선,신용카드
남성,10대,회사원,87,3호선,신용카드
여성,10대,무직,65,7호선,교통카드
여성,60대 이상,무직,23,1호선,교통카드
여성,30대,학생,35,3호선,교통카드
여성,40대,학생,40,7호선,신용카드
남성,30대,회사원,23,9호선,신용카드
남성,10대,무직,42,9호선,현금
여성,50대,학생,6,5호선,신용카드
여성,60대 이상,학생,99,1호선,교통카드
여성,30대,자영업,51,9호선,현금
여성,60대 이상,기타,98,8호선,교통카드
남성,50대,무직,57,6호선,신용카드
여성,50대,자영업,76,3호선,교통카드
여성,30대,회사원,39,5호선,현금
여성,50대,학생,85,5호선,교통카드
여성,10대,무직,23,3호선,신용카드
여성,40대,자영업,23,1호선,교통카드
여성,30대,무직,56,8호선,현금
여성,50대,회사원,13,5호선,신용카드
여성,10대,자영업,100,6호선,현금
여성,60대 이상,무직,82,2호선,현금
남성,40대,회사원,2,4호선,현금
남성,30대,기타,96,7호선,현금
여성,60대 이상,회사원,16,5호선,신용카드
여성,60대 이상,무직,53,2호선,현금
여성,20대,기타,58,3호선,신용카드
남성,20대,자영업,100,8호선,교통카드
여성,60대 이상,회사원,53,6호선,현금
여성,60대 이상,학생,18,3호선,현금
여성,30대,무직,15,9호선,교통카드
여성,30대,자영업,90,1호선,현금
여성,20대,무직,81,6호선,현금
남성,60대 이상,무직,64,6호선,교통카드
남성,50대,학생,72,2호선,현금
여성,30대,학생,54,7호선,신용카드
여성,10대,학생,44,2호선,교통카드
여성,30대,학생,2,6호선,현금
남성,10대,자영업,35,6호선,교통카드
남성,50대,기타,38,8호선,교통카드
남성,50대,학생,1,8호선,신용카드
남성,20대,학생,62,9호선,신용카드
남성,60대 이상,기타,15,1호선,교통카드
여성,50대,회사원,26,6호선,현금
남성,50대,무직,64,5호선,현금
여성,60대 이상,회사원,81,9호선,교통카드
남성,30대,회사원,41,6호선,교통카드
여성,30대,학생,67,2호선,교통카드
남성,30대,회사원,63,4호선,현금
남성,40대,학생,12,1호선,현금
여성,50대,회사원,86,8호선,현금
여성,20대,학생,1,1호선,신용카드
남성,50대,자영업,58,8호선,교통카드
남성,20대,학생,21,6호선,교통카드
남성,30대,무직,21,9호선,현금
남성,60대 이상,학생,69,8호선,현금
남성,50대,자영업,56,6호선,교통카드
남성,10대,기타,6,2호선,신용카드
남성,30대,자영업,60,8호선,현금
남성,10대,학생,82,8호선,교통카드
여성,50대,기타,7,8호선,현금
남성,10대,자영업,60,4호선,교통카드
남성,20대,기타,72,1호선,교통카드
여성,60대 이상,무직,81,3호선,교통카드
여성,10대,무직,27,7호선,교통카드
남성,60대 이상,자영업,31,7호선,현금
남성,50대,회사원,11,8호선,현금
남성,30대,학생,17,6호선,신용카드
남성,30대,자영업,96,3호선,현금
여성,30대,자영업,10,3호선,현금
여성,20대,회사원,81,6호선,현금
여성,20대,학생,63,4호선,현금
여성,20대,회사원,79,1호선,교통카드
남성,60대 이상,회사원,24,2호선,교통카드
남성,50대,기타,32,2호선,교통카드
남성,10대,기타,93,8호선,현금
여성,20대,학생,73,5호선,신용카드
남성,30대,무직,11,7호선,교통카드
남성,20대,무직,38,3호선,신용카드
남성,30대,학생,3,9호선,신용카드
여성,30대,자영업,53,9호선,현금
남성,10대,자영업,93,8호선,현금
남성,40대,무직,49,5호선,현금
남성,30대,기타,79,9호선,교통카드
여성,20대,자영업,40,2호선,교통카드
여성,10대,무직,44,6호선,현금
남성,10대,회사원,69,3호선,현금
남성,30대,무직,89,7호선,신용카드
여성,40대,무직,84,3호선,교통카드
남성,50대,기타,67,9호선,교통카드
여성,50대,자영업,15,2호선,교통카드
여성,20대,학생,41,8호선,현금
여성,20대,무직,92,2호선,교통카드
여성,40대,기타,11,4호선,현금
남성,30대,무직,20,8호선,신용카드
남성,30대,기타,48,4호선,현금
여성,50대,무직,83,4호선,현금
남성,40대,자영업,93,2호선,교통카드
여성,60대 이상,학생,51,9호선,현금
남성,40대,무직,96,3호선,현금
여성,10대,무직,4,6호선,신용카드
여성,40대,자영업,9,7호선,현금
남성,10대,무직,55,4호선,현금
여성,50대,기타,16,6호선,현금
남성,10대,기타,56,2호선,현금
남성,20대,기타,24,2호선,현금
남성,40대,기타,62,7호선,교통카드
여성,10대,자영업,26,2호선,신용카드
남성,50대,무직,4,1호선,교통카드
여성,10대,무직,16,7호선,신용카드
남성,50대,학생,78,2호선,교통카드
남성,20대,회사원,32,9호선,신용카드
여성,40대,회사원,47,3호선,교통카드
남성,40대,학생,59,4호선,신용카드
여성,40대,무직,2,2호선,현금
여성,10대,무직,31,1호선,현금
남성,40대,기타,47,3호선,교통카드
여성,60대 이상,자영업,12,2호선,교통카드
여성,30대,무직,29,5호선,신용카드
여성,60대 이상,회사원,12,2호선,신용카드
남성,30대,학생,48,9호선,현금
남성,40대,자영업,76,3호선,교통카드
남성,30대,회사원,30,3호선,교통카드
남성,60대 이상,기타,91,4호선,현금
남성,40대,학생,59,3호선,교통카드
여성,40대,학생,89,7호선,현금
여성,30대,회사원,40,9호선,교통카드
여성,30대,자영업,92,1호선,신용카드
남성,10대,자영업,99,7호선,현금
남성,40대,자영업,70,9호선,현금
남성,60대 이상,학생,88,4호선,신용카드
남성,20대,무직,20,2호선,현금
여성,10대,학생,62,4호선,신용카드
남성,60대 이상,무직,27,3호선,현금
여성,50대,학생,65,6호선,현금
남성,50대,자영업,87,4호선,신용카드
여성,10대,기타,21,6호선,교통카드
남성,40대,무직,6,5호선,현금
여성,50대,회사원,84,6호선,교통카드
여성,20대,회사원,68,2호선,신용카드
남성,10대,자영업,48,2호선,신용카드
여성,40대,기타,77,3호선,신용카드
여성,10대,무직,73,6호선,신용카드
남성,10대,무직,6,2호선,신용카드
남성,20대,회사원,40,1호선,신용카드
남성,40대,기타,2,6호선,교통카드
남성,10대,무직,68,2호선,현금
남성,40대,무직,19,1호선,교통카드
여성,30대,회사원,58,4호선,신용카드
남성,20대,자영업,46,7호선,교통카드
여성,40대,회사원,51,2호선,교통카드
남성,30대,회사원,68,6호선,교통카드
여성,20대,무직,85,4호선,현금
남성,10대,자영업,100,2호선,현금
남성,30대,학생,42,8호선,현금
여성,60대 이상,학생,87,6호선,현금
여성,60대 이상,학생,83,5호선,현금
남성,20대,무직,96,8호선,교통카드
남성,20대,무직,74,9호선,현금
여성,40대,자영업,94,6호선,신용카드
여성,50대,무직,70,3호선,현금
남성,10대,학생,94,2호선,교통카드
남성,30대,자영업,85,3호선,교통카드
여성,50대,기타,98,6호선,신용카드
남성,30대,자영업,6,5호선,현금
여성,50대,자영업,4,7호선,현금
남성,60대 이상,무직,95,1호선,신용카드
남성,50대,학생,37,2호선,현금
여성,20대,회사원,63,1호선,현금
남성,40대,회사원,58,6호선,현금
여성,30대,학생,50,7호선,교통카드
남성,30대,회사원,7,1호선,신용카드
남성,60대 이상,회사원,17,3호선,교통카드
남성,20대,학생,56,8호선,교통카드
여성,30대,회사원,49,5호선,신용카드
여성,20대,회사원,39,8호선,현금
여성,20대,학생,14,5호선,교통카드
남성,60대 이상,학생,80,2호선,신용카드
여성,30대,회사원,4,8호선,현금
여성,20대,기타,96,7호선,교통카드
여성,10대,자영업,26,3호선,교통카드
남성,30대,회사원,6,5호선,현금
여성,40대,자영업,22,9호선,현금
여성,40대,기타,39,9호선,교통카드
여성,40대,자영업,59,3호선,신용카드
여성,60대 이상,회사원,1,8호선,현금
여성,40대,무직,32,8호선,신용카드
여성,60대 이상,기타,79,7호선,신용카드
남성,20대,회사원,29,6호선,현금
여성,30대,자영업,24,3호선,교통카드
여성,20대,기타,30,4호선,신용카드
남성,10대,회사원,94,1호선,신용카드
여성,60대 이상,무직,42,5호선,신용카드
남성,50대,무직,89,8호선,교통카드
여성,50대,무직,20,8호선,신용카드
남성,50대,자영업,47,4호선,현금
여성,20대,자영업,30,7호선,신용카드
여성,40대,자영업,77,8호선,현금
여성,30대,기타,47,5호선,현금
여성,30대,학생,83,1호선,교통카드
여성,50대,회사원,2,6호선,신용카드
남성,60대 이상,학생,25,1호선,교통카드
남성,40대,자영업,88,2호선,신용카드
남성,20대,학생,6,8호선,신용카드
여성,50대,회사원,98,5호선,교통카드
여성,30대,기타,93,8호선,교통카드
여성,10대,회사원,2,6호선,현금
남성,10대,자영업,50,2호선,신용카드
여성,50대,회사원,39,7호선,신용카드
여성,20대,학생,68,9호선,현금
여성,30대,학생,7,3호선,교통카드
남성,40대,무직,5,7호선,교통카드
여성,60대 이상,자영업,97,4호선,현금
여성,40대,학생,54,3호선,현금
남성,40대,무직,21,1호선,현금
남성,10대,자영업,78,5호선,현금
남성,20대,자영업,88,4호선,현금
여성,20대,회사원,25,8호선,신용카드
남성,40대,학생,87,4호선,현금
남성,10대,회사원,77,2호선,교통카드
여성,50대,학생,11,9호선,교통카드
여성,50대,회사원,23,1호선,교통카드
남성,30대,무직,33,2호선,현금
남성,20대,기타,66,7호선,신용카드
여성,40대,무직,37,8호선,신용카드
여성,20대,무직,34,1호선,현금
남성,10대,학생,97,7호선,교통카드
여성,20대,자영업,17,1호선,현금
남성,30대,기타,69,8호선,신용카드
여성,40대,기타,51,8호선,교통카드
남성,60대 이상,기타,16,8호선,현금
남성,10대,학생,70,5호선,현금
여성,40대,학생,69,3호선,신용카드
남성,40대,무직,33,2호선,신용카드
여성,10대,무직,53,1호선,교통카드
남성,60대 이상,회사원,28,3호선,교통카드
여성,50대,자영업,19,5호선,신용카드
남성,40대,기타,74,6호선,교통카드
남성,40대,자영업,60,2호선,교통카드
남성,20대,기타,8,6호선,현금
남성,10대,무직,13,4호선,교통카드
남성,60대 이상,자영업,35,9호선,현금
남성,60대 이상,무직,58,2호선,현금
여성,40대,회사원,60,8호선,신용카드
여성,30대,자영업,30,8호선,교통카드
남성,60대 이상,회사원,73,9호선,교통카드
여성,40대,기타,33,1호선,교통카드
남성,10대,무직,90,9호선,신용카드
여성,40대,회사원,13,6호선,교통카드
남성,30대,회사원,12,4호선,현금
남성,10대,회사원,77,2호선,신용카드
남성,60대 이상,회사원,50,7호선,신용카드
남성,40대,회사원,100,9호선,신용카드
여성,20대,학생,2,9호선,현금
여성,60대 이상,자영업,44,9호선,신용카드
남성,60대 이상,회사원,15,1호선,교통카드
남성,40대,기타,30,6호선,교통카드
남성,60대 이상,자영업,51,9호선,현금
남성,60대 이상,자영업,33,1호선,신용카드
남성,10대,자영업,99,1호선,교통카드
남성,30대,무직,91,5호선,현금
남성,20대,자영업,78,8호선,현금
남성,50대,무직,65,5호선,교통카드
남성,40대,회사원,95,7호선,신용카드
여성,30대,기타,95,7호선,신용카드
남성,60대 이상,무직,78,2호선,교통카드
여성,60대 이상,학생,79,1호선,교통카드
여성,30대,학생,82,9호선,신용카드
남성,60대 이상,자영업,82,9호선,현금
남성,20대,자영업,19,1호선,신용카드
여성,40대,자영업,25,3호선,신용카드
여성,40대,자영업,37,9호선,현금
남성,40대,학생,41,6호선,교통카드
남성,40대,자영업,65,7호선,교통카드
여성,50대,무직,11,5호선,신용카드
여성,10대,회사원,48,6호선,현금
남성,60대 이상,무직,54,2호선,현금
여성,40대,무직,68,1호선,교통카드
여성,40대,기타,15,1호선,신용카드
여성,30대,학생,63,1호선,현금
여성,60대 이상,학생,61,5호선,현금
남성,50대,학생,81,7호선,교통카드
남성,40대,학생,80,5호선,현금
남성,10대,자영업,22,5호선,신용카드
남성,60대 이상,기타,50,9호선,현금
남성,50대,자영업,8,9호선,교통카드
여성,50대,무직,36,4호선,신용카드
남성,10대,기타,37,6호선,교통카드
여성,60대 이상,기타,70,9호선,교통카드
여성,40대,기타,39,9호선,신용카드
여성,50대,기타,92,7호선,교통카드
여성,60대 이상,기타,36,5호선,교통카드
남성,40대,무직,66,3호선,현금
남성,20대,무직,60,8호선,교통카드
여성,20대,자영업,79,8호선,신용카드
남성,60대 이상,회사원,14,2호선,현금
남성,30대,회사원,42,9호선,교통카드
여성,60대 이상,자영업,3,2호선,현금
남성,40대,자영업,42,7호선,교통카드
여성,20대,회사원,40,5호선,교통카드
여성,40대,무직,32,2호선,신용카드
남성,20대,회사원,49,8호선,신용카드
남성,60대 이상,자영업,78,2호선,현금
여성,60대 이상,회사원,72,2호선,신용카드
남성,60대 이상,기타,69,7호선,현금
여성,30대,학생,9,2호선,현금
남성,20대,기타,73,5호선,교통카드
여성,50대,무직,38,7호선,교통카드
남성,30대,회사원,92,4호선,교통카드
여성,20대,무직,93,8호선,교통카드
남성,20대,회사원,66,1호선,교통카드
여성,50대,무직,94,1호선,신용카드
남성,50대,기타,43,5호선,현금
여성,50대,기타,44,8호선,신용카드
여성,60대 이상,자영업,76,4호선,교통카드
남성,20대,학생,4,4호선,교통카드
여성,20대,무직,11,4호선,교통카드
여성,50대,자영업,30,2호선,교통카드
여성,40대,회사원,38,4호선,현금
여성,20대,학생,62,3호선,신용카드
남성,20대,자영업,85,4호선,현금
남성,60대 이상,기타,29,9호선,교통카드
여성,40대,회사원,1,1호선,교통카드
남성,20대,회사원,57,3호선,신용카드
남성,20대,회사원,50,6호선,신용카드
여성,40대,기타,84,7호선,현금
여성,40대,회사원,38,5호선,교통카드
여성,50대,기타,33,5호선,현금
여성,50대,회사원,85,2호선,현금
남성,10대,자영업,63,1호선,신용카드
여성,50대,무직,41,9호선,현금
여성,30대,회사원,49,6호선,교통카드
여성,20대,학생,99,5호선,교통카드
남성,20대,학생,91,3호선,교통카드
남성,50대,자영업,25,1호선,현금
남성,50대,무직,31,7호선,현금
여성,60대 이상,무직,83,1호선,교통카드
남성,60대 이상,학생,39,5호선,신용카드
여성,20대,자영업,65,6호선,신용카드
여성,40대,자영업,93,9호선,교통카드
남성,50대,기타,95,9호선,교통카드
남성,60대 이상,무직,45,4호선,현금
여성,30대,회사원,74,8호선,현금
여성,50대,학생,85,5호선,교통카드
남성,60대 이상,회사원,7,7호선,신용카드
남성,50대,회사원,91,2호선,교통카드
여성,20대,무직,56,8호선,현금
여성,30대,자영업,17,9호선,교통카드
남성,10대,회사원,64,1호선,교통카드
남성,20대,기타,7,1호선,교통카드
여성,30대,학생,72,9호선,신용카드
여성,20대,무직,29,6호선,신용카드
남성,40대,자영업,3,1호선,교통카드
여성,30대,자영업,94,6호선,신용카드
남성,10대,기타,52,5호선,현금
여성,60대 이상,무직,12,6호선,현금
여성,60대 이상,기타,42,8호선,교통카드
남성,10대,학생,1,1호선,교통카드
여성,40대,학생,40,4호선,신용카드
남성,10대,자영업,4,8호선,교통카드
남성,60대 이상,무직,34,7호선,신용카드
남성,40대,학생,64,2호선,신용카드
여성,30대,학생,79,8호선,신용카드
여성,60대 이상,회사원,33,7호선,교통카드
남성,10대,학생,48,3호선,교통카드
남성,20대,학생,11,8호선,신용카드
여성,30대,자영업,31,3호선,교통카드
여성,40대,기타,58,4호선,현금
여성,10대,자영업,64,3호선,신용카드
여성,20대,학생,57,6호선,신용카드
남성,30대,무직,69,9호선,신용카드
남성,30대,회사원,86,9호선,교통카드
남성,40대,기타,95,7호선,교통카드
여성,60대 이상,자영업,26,3호선,현금
남성,30대,회사원,94,8호선,교통카드
남성,40대,기타,67,1호선,신용카드
여성,20대,회사원,30,1호선,현금
남성,30대,기타,27,8호선,현금
여성,20대,무직,15,8호선,교통카드
남성,10대,회사원,32,9호선,교통카드
남성,60대 이상,회사원,75,5호선,교통카드
여성,50대,기타,94,7호선,교통카드
남성,50대,학생,62,2호선,교통카드
남성,40대,자영업,44,2호선,신용카드
여성,30대,기타,38,2호선,현금
여성,20대,무직,44,9호선,신용카드
남성,20대,무직,67,7호선,교통카드
남성,30대,회사원,31,9호선,교통카드
여성,60대 이상,자영업,27,2호선,신용카드
여성,60대 이상,학생,68,7호선,신용카드
남성,20대,자영업,96,8호선,현금
남성,20대,자영업,90,2호선,현금
남성,20대,학생,38,3호선,교통카드
여성,30대,학생,41,2호선,현금
남성,50대,회사원,59,9호선,신용카드
여성,60대 이상,회사원,82,2호선,교통카드
남성,50대,학생,87,5호선,현금
남성,30대,자영업,14,9호선,교통카드
남성,20대,기타,27,3호선,신용카드
여성,20대,회사원,55,8호선,현금
남성,50대,기타,91,1호선,교통카드
여성,30대,학생,36,8호선,교통카드
여성,60대 이상,학생,59,1호선,신용카드
여성,50대,무직,67,6호선,교통카드
남성,10대,무직,50,7호선,교통카드
남성,40대,학생,26,2호선,현금
남성,10대,무직,38,9호선,교통카드
여성,40대,무직,85,1호선,교통카드
여성,50대,학생,20,2호선,교통카드
여성,40대,학생,84,9호선,신용카드
남성,10대,학생,78,4호선,현금
남성,50대,학생,58,1호선,교통카드
남성,40대,자영업,43,6호선,현금
여성,60대 이상,학생,5,8호선,교통카드
여성,50대,학생,67,2호선,현금
남성,20대,학생,41,4호선,교통카드
여성,30대,학생,66,1호선,교통카드
남성,30대,무직,56,5호선,현금
여성,10대,자영업,21,8호선,교통카드
남성,60대 이상,회사원,23,1호선,교통카드
여성,20대,기타,16,2호선,신용카드
남성,40대,자영업,85,7호선,교통카드
남성,50대,무직,60,4호선,현금
여성,10대,자영업,98,5호선,신용카드
남성,60대 이상,무직,88,4호선,교통카드
남성,40대,기타,10,7호선,현금
여성,30대,학생,73,5호선,교통카드
남성,10대,학생,42,7호선,현금
여성,50대,무직,81,1호선,신용카드
여성,50대,학생,27,6호선,현금
남성,30대,자영업,63,7호선,현금
남성,50대,자영업,91,8호선,신용카드
남성,10대,자영업,66,1호선,현금
여성,30대,회사원,63,3호선,신용카드
여성,60대 이상,회사원,73,2호선,신용카드
여성,50대,자영업,84,2호선,신용카드
여성,30대,학생,93,1호선,현금
여성,40대,학생,41,4호선,교통카드
남성,30대,자영업,74,4호선,교통카드
여성,40대,자영업,67,4호선,신용카드
여성,20대,무직,62,1호선,현금
남성,30대,회사원,56,8호선,교통카드
여성,30대,회사원,97,7호선,교통카드
여성,20대,무직,59,5호선,현금
남성,50대,자영업,87,5호선,현금
남성,50대,학생,17,9호선,신용카드
남성,10대,기타,7,6호선,신용카드
남성,50대,기타,94,4호선,신용카드
남성,30대,자영업,4,3호선,신용카드
남성,40대,무직,89,3호선,신용카드
남성,20대,무직,49,9호선,현금
남성,60대 이상,무직,47,8호선,교통카드
남성,50대,학생,75,8호선,교통카드
남성,20대,기타,94,8호선,교통카드
여성,60대 이상,무직,70,7호선,교통카드
남성,50대,회사원,66,1호선,현금
남성,30대,무직,95,8호선,신용카드
남성,20대,기타,29,6호선,현금
남성,10대,자영업,92,2호선,교통카드
여성,60대 이상,학생,58,2호선,신용카드
여성,20대,학생,81,6호선,현금
남성,30대,회사원,18,6호선,현금
여성,60대 이상,학생,78,1호선,현금
여성,60대 이상,기타,26,9호선,신용카드
남성,40대,기타,26,4호선,신용카드
여성,50대,무직,53,7호선,교통카드
여성,40대,기타,11,8호선,신용카드
남성,60대 이상,자영업,30,8호선,교통카드
남성,10대,학생,2,7호선,신용카드
여성,30대,자영업,10,6호선,신용카드
남성,40대,회사원,87,8호선,신용카드
여성,60대 이상,학생,4,7호선,신용카드
남성,20대,회사원,91,7호선,교통카드
여성,60대 이상,기타,75,8호선,교통카드
여성,60대 이상,기타,98,2호선,신용카드
남성,50대,학생,55,1호선,신용카드
남성,50대,기타,89,9호선,현금
여성,60대 이상,회사원,20,7호선,교통카드
남성,10대,기타,63,3호선,현금
여성,10대,회사원,61,8호선,신용카드
남성,10대,자영업,55,5호선,교통카드
남성,50대,학생,7,3호선,현금
여성,60대 이상,회사원,77,9호선,현금
여성,20대,회사원,19,7호선,현금
여성,10대,기타,94,5호선,신용카드
여성,20대,기타,62,7호선,교통카드
남성,30대,기타,41,2호선,신용카드
여성,20대,무직,28,3호선,현금
남성,50대,무직,80,2호선,신용카드
여성,10대,학생,66,9호선,현금
여성,40대,회사원,72,5호선,교통카드
여성,30대,기타,62,8호선,현금
여성,50대,학생,88,5호선,교통카드
여성,40대,무직,13,6호선,신용카드
남성,60대 이상,기타,82,6호선,신용카드
여성,40대,회사원,86,8호선,현금
여성,60대 이상,무직,93,5호선,현금
남성,30대,무직,80,9호선,현금
여성,10대,기타,29,7호선,교통카드
남성,60대 이상,자영업,37,4호선,교통카드
여성,30대,회사원,97,4호선,신용카드
여성,40대,기타,98,1호선,신용카드
여성,50대,회사원,49,6호선,신용카드
여성,40대,자영업,63,2호선,현금
여성,50대,학생,99,5호선,현금
여성,60대 이상,무직,51,7호선,교통카드
남성,40대,무직,19,4호선,신용카드
남성,20대,무직,4,8호선,현금
남성,10대,회사원,6,7호선,현금
남성,10대,기타,94,2호선,현금
남성,60대 이상,자영업,16,1호선,교통카드
여성,50대,회사원,76,7호선,신용카드
남성,60대 이상,기타,6,1호선,신용카드
남성,60대 이상,회사원,35,3호선,현금
여성,30대,자영업,40,4호선,교통카드
여성,50대,기타,18,5호선,교통카드
여성,40대,무직,47,2호선,신용카드
여성,40대,무직,11,1호선,교통카드
남성,40대,자영업,62,7호선,신용카드
남성,50대,무직,68,2호선,신용카드
남성,20대,학생,91,8호선,교통카드
여성,20대,기타,13,8호선,교통카드
남성,60대 이상,자영업,74,4호선,신용카드
여성,40대,무직,44,1호선,신용카드
남성,60대 이상,기타,28,8호선,교통카드
여성,50대,기타,29,9호선,교통카드
여성,20대,무직,77,8호선,교통카드
여성,30대,회사원,4,8호선,교통카드
남성,50대,자영업,4,1호선,현금
남성,40대,기타,53,9호선,현금
남성,10대,기타,11,5호선,신용카드
남성,20대,기타,79,2호선,현금
여성,20대,학생,93,2호선,신용카드
여성,60대 이상,무직,11,9호선,현금
남성,30대,회사원,55,4호선,신용카드
남성,10대,회사원,32,1호선,현금
남성,50대,자영업,37,7호선,교통카드
여성,60대 이상,회사원,36,5호선,신용카드
여성,10대,기타,19,8호선,교통카드
남성,60대 이상,회사원,3,3호선,신용카드
남성,20대,학생,54,9호선,현금
여성,60대 이상,회사원,61,3호선,현금
남성,40대,학생,1,7호선,현금
여성,40대,기타,72,8호선,현금
남성,30대,기타,98,8호선,신용카드
여성,30대,기타,58,9호선,교통카드
여성,30대,기타,43,6호선,교통카드
여성,30대,학생,88,6호선,교통카드
남성,10대,회사원,70,9호선,현금
남성,20대,학생,92,2호선,교통카드
여성,50대,회사원,18,5호선,현금
남성,60대 이상,회사원,77,8호선,교통카드
남성,10대,자영업,72,5호선,신용카드
여성,40대,회사원,18,7호선,현금
남성,40대,자영업,58,6호선,현금
여성,60대 이상,자영업,76,6호선,현금
여성,10대,기타,6,9호선,현금
남성,30대,자영업,47,5호선,신용카드
남성,60대 이상,무직,28,4호선,교통카드
여성,10대,자영업,50,1호선,교통카드
남성,40대,학생,93,5호선,교통카드
남성,10대,회사원,65,7호선,현금
남성,30대,자영업,30,2호선,교통카드
여성,50대,자영업,11,7호선,현금
남성,40대,학생,53,8호선,현금
여성,20대,자영업,83,5호선,교통카드
남성,30대,기타,87,4호선,현금
남성,60대 이상,무직,73,1호선,신용카드
여성,10대,회사원,34,9호선,신용카드
여성,50대,자영업,79,9호선,신용카드
남성,40대,회사원,50,9호선,교통카드
남성,20대,학생,67,5호선,현금
여성,20대,기타,47,1호선,신용카드
남성,50대,자영업,49,7호선,교통카드
남성,40대,자영업,64,9호선,신용카드
여성,10대,회사원,47,9호선,현금
여성,10대,자영업,80,2호선,현금
남성,50대,무직,64,1호선,현금
여성,20대,회사원,85,3호선,현금
여성,50대,자영업,21,1호선,현금
남성,30대,무직,31,4호선,현금
남성,10대,회사원,76,3호선,교통카드
남성,50대,기타,71,2호선,신용카드
여성,30대,자영업,6,5호선,현금
남성,60대 이상,학생,95,3호선,현금
남성,60대 이상,무직,50,1호선,신용카드
남성,40대,무직,70,6호선,교통카드
여성,40대,학생,65,7호선,현금
남성,30대,회사원,68,9호선,신용카드
남성,40대,무직,60,3호선,신용카드
여성,40대,기타,79,3호선,현금
여성,20대,무직,45,1호선,신용카드
여성,30대,회사원,3,3호선,신용카드
여성,20대,자영업,74,4호선,교통카드
남성,40대,학생,99,6호선,교통카드
여성,40대,학생,84,9호선,현금
남성,60대 이상,회사원,79,5호선,교통카드
여성,60대 이상,무직,39,2호선,교통카드
남성,60대 이상,기타,58,4호선,교통카드
남성,20대,회사원,38,5호선,신용카드
여성,40대,자영업,3,4호선,현금
여성,20대,기타,91,2호선,교통카드
남성,20대,기타,43,7호선,교통카드
남성,20대,회사원,54,9호선,현금
여성,60대 이상,무직,91,9호선,신용카드
