gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,MonthlyCharges,Churn
Male,0,Yes,47,Yes,Yes,No,107.35,1
Female,0,Yes,31,Yes,No,No internet service,19.55,1
Male,0,Yes,1,Yes,No,No,81.05,0
Male,0,No,3,Yes,No,No internet service,20.5,0
Female,0,No,53,Yes,Yes,No,111.8,0
Male,0,No,1,Yes,No,No internet service,20.2,0
Male,0,No,20,Yes,No,No internet service,19.7,0
Female,0,No,3,Yes,No,Yes,79.1,1
Female,0,No,51,Yes,No,No internet service,19.85,0
Female,0,No,51,Yes,No,Yes,60.5,0
Female,0,Yes,13,Yes,No,No internet service,19.55,0
Female,0,No,1,Yes,No,No internet service,20.9,0
Male,0,Yes,1,Yes,No,No internet service,21.05,0
Male,0,No,63,Yes,Yes,Yes,71.5,0
Male,0,No,3,Yes,No,No,54.65,0
Male,0,No,46,Yes,No,No internet service,19.2,0
Male,0,No,1,Yes,Yes,No,49.8,0
Male,0,Yes,8,No,No phone service,No,25.5,1
Female,0,Yes,71,Yes,No,No internet service,20.5,0
Male,0,Yes,55,Yes,Yes,No,90.4,0
Female,0,No,70,Yes,Yes,No,90.25,0
Female,0,No,2,Yes,No,No,80.75,1
Male,0,Yes,67,Yes,Yes,Yes,104.6,0
Male,0,No,65,Yes,Yes,No,91.85,1
Male,0,No,14,Yes,No,No,50.2,0
Female,0,Yes,20,Yes,Yes,No,95.5,0
Male,0,Yes,1,Yes,No,No,75.35,1
Male,0,No,1,Yes,Yes,No,75.45,1
Female,0,Yes,49,Yes,Yes,No,95.4,0
Female,0,No,72,Yes,Yes,Yes,101.3,0
Female,0,No,46,Yes,Yes,Yes,53.1,0
Male,0,No,24,Yes,Yes,No,84.85,0
Female,0,Yes,5,No,No phone service,No,34.25,0
Female,0,Yes,33,Yes,Yes,No,88.6,0
Female,0,No,42,Yes,Yes,Yes,60.15,0
Male,0,No,23,Yes,No,Yes,99.95,0
Male,0,No,8,Yes,No,No,70.7,0
Male,0,No,66,Yes,No,Yes,54.8,0
Male,0,No,24,Yes,No,Yes,49.55,1
Male,1,No,24,Yes,Yes,No,54.8,0
Male,0,No,69,Yes,Yes,Yes,78.6,1
Female,0,No,53,Yes,No,No,100.3,0
Female,0,No,60,No,No phone service,Yes,53.6,0
Female,0,No,7,Yes,No,No,81.1,1
Female,0,No,20,Yes,No,No internet service,19.35,0
Female,0,Yes,23,Yes,Yes,No,85.6,0
Male,0,Yes,72,Yes,No,Yes,80.8,0
Male,0,No,11,Yes,Yes,No,74.95,1
Male,0,No,21,Yes,No,No internet service,19.6,0
Male,1,No,1,Yes,Yes,No,93.55,1
Male,1,No,31,Yes,Yes,No,90.7,0
Female,0,No,57,Yes,No,No,69.75,0
Female,0,Yes,45,Yes,No,No internet service,20.0,0
Male,0,No,10,Yes,Yes,No,95.25,0
Female,0,No,58,Yes,Yes,No,102.1,1
Male,0,Yes,14,Yes,No,No internet service,19.95,0
Male,0,No,27,Yes,Yes,Yes,80.85,0
Female,0,Yes,14,Yes,Yes,No,90.9,1
Female,0,Yes,12,No,No phone service,No,29.2,1
Female,0,Yes,69,Yes,Yes,No,93.3,0
Female,0,Yes,25,Yes,No,No,89.15,1
Male,1,No,58,Yes,Yes,Yes,108.85,1
Female,0,Yes,35,No,No phone service,Yes,46.35,0
Female,1,No,16,Yes,Yes,No,84.75,1
Male,0,Yes,45,Yes,Yes,No,78.75,0
Female,0,No,17,Yes,No,No,83.55,0
Female,0,Yes,1,Yes,No,No,45.7,1
Male,0,No,22,Yes,No,No internet service,19.6,0
Female,1,No,1,Yes,No,No,69.95,1
Male,0,Yes,67,Yes,No,Yes,67.85,0
Female,0,Yes,67,Yes,Yes,No,105.65,0
Female,0,No,2,No,No phone service,No,44.6,1
Male,0,No,23,Yes,Yes,No,74.95,1
Female,1,No,9,Yes,No,No,75.5,0
Female,0,No,5,Yes,No,No internet service,20.15,0
Male,0,No,54,No,No phone service,Yes,45.2,0
Female,0,No,57,Yes,No,No,95.25,1
Male,0,No,24,Yes,Yes,No,89.85,1
Female,0,Yes,49,Yes,Yes,No,100.45,1
Male,0,No,5,Yes,Yes,No,47.15,1
Male,0,No,2,Yes,No,No,80.2,1
Female,0,Yes,4,Yes,Yes,No,87.1,1
Male,0,Yes,70,Yes,Yes,Yes,79.25,0
Male,0,No,5,Yes,Yes,No,75.9,1
Male,0,Yes,53,Yes,Yes,Yes,85.7,0
Female,0,No,47,Yes,Yes,Yes,98.75,1
Female,0,Yes,31,Yes,No,No internet service,20.1,0
Male,0,Yes,13,Yes,No,No,61.8,0
Female,0,Yes,28,Yes,Yes,No,49.9,0
Female,0,No,10,Yes,Yes,No,86.45,1
Male,0,No,38,Yes,No,No internet service,20.4,0
Female,0,No,1,Yes,No,No,45.3,1
Male,0,No,67,Yes,Yes,No,104.1,1
Male,0,No,52,Yes,No,Yes,75.4,0
Male,0,Yes,62,Yes,No,Yes,108.15,0
Female,0,No,16,Yes,No,No,86.25,0
Female,1,No,5,Yes,Yes,No,81.0,1
Male,0,No,12,Yes,No,No,95.7,0
Female,0,Yes,72,Yes,Yes,Yes,116.85,0
Male,1,No,71,Yes,Yes,No,105.75,0
Female,0,No,24,Yes,No,No internet service,20.15,0
Female,0,No,15,Yes,No,No internet service,19.6,0
Male,0,No,67,Yes,No,Yes,90.6,1
Male,0,Yes,2,Yes,Yes,Yes,60.95,0
Female,0,Yes,5,No,No phone service,No,25.05,0
Female,0,No,15,Yes,No,No,88.15,1
Male,0,No,1,Yes,No,No internet service,20.2,1
Male,0,Yes,41,Yes,No,Yes,60.3,0
Female,0,Yes,43,Yes,No,Yes,63.95,0
Male,1,No,1,Yes,Yes,No,74.3,0
Female,1,No,1,Yes,No,No,70.6,0
Female,0,Yes,26,Yes,No,No,90.8,1
Male,0,No,22,Yes,Yes,No,79.35,1
Male,0,No,71,Yes,Yes,Yes,90.55,0
Male,0,No,7,Yes,No,No internet service,19.45,0
Female,1,No,28,Yes,Yes,No,64.45,0
Male,1,No,16,Yes,No,No,69.65,0
Male,0,No,7,Yes,No,No internet service,19.5,0
Female,0,No,69,Yes,Yes,No,110.5,0
Female,0,Yes,1,No,No phone service,No,24.7,0
Male,0,No,3,Yes,No,Yes,77.4,0
Male,1,No,21,Yes,No,No,96.8,1
Female,0,No,69,Yes,Yes,No,85.4,0
Female,0,No,71,No,No phone service,Yes,47.6,0
Female,0,Yes,69,Yes,No,No internet service,19.4,0
Female,0,No,48,Yes,Yes,No,103.85,0
Male,0,No,47,Yes,Yes,No,83.35,1
Female,0,No,2,Yes,Yes,No,49.4,1
Male,0,No,45,Yes,Yes,Yes,108.45,0
Male,0,No,51,Yes,Yes,No,81.0,0
Female,0,No,22,Yes,Yes,Yes,79.2,1
Male,0,No,72,Yes,Yes,Yes,86.65,0
Male,0,Yes,37,Yes,Yes,No,92.95,0
Male,0,Yes,71,Yes,Yes,Yes,90.35,0
Male,0,Yes,7,Yes,No,No,48.7,1
Female,0,No,66,Yes,Yes,No internet service,25.15,0
Male,0,Yes,51,Yes,No,Yes,76.4,0
Female,0,Yes,30,Yes,No,No internet service,19.55,0
Female,0,No,34,Yes,Yes,No,85.35,0
Male,0,Yes,64,Yes,Yes,No internet service,24.8,0
Male,1,No,65,Yes,Yes,No,103.15,0
Male,0,No,47,Yes,Yes,Yes,100.75,0
Female,0,No,1,Yes,No,Yes,95.6,1
Female,0,No,49,Yes,Yes,Yes,59.75,1
Female,0,Yes,67,Yes,Yes,No,94.1,0
Male,0,Yes,39,Yes,No,No internet service,19.35,0
Male,0,No,14,Yes,No,No internet service,19.9,0
Female,1,No,43,Yes,No,Yes,108.15,1
Male,1,No,56,Yes,Yes,No,101.05,0
Female,0,No,14,Yes,No,No,59.1,0
Female,0,No,1,Yes,No,No,71.35,1
Male,0,Yes,16,Yes,No,Yes,55.85,0
Male,0,Yes,70,Yes,Yes,Yes,106.05,0
Male,1,No,72,Yes,Yes,Yes,84.1,0
Female,0,Yes,23,Yes,No,No,75.3,0
Male,0,Yes,21,Yes,Yes,No internet service,24.7,0
Female,0,No,1,Yes,No,No internet service,20.15,1
Male,0,Yes,1,Yes,No,No,69.75,1
Female,1,No,32,Yes,Yes,No,93.2,1
Male,0,Yes,17,Yes,No,No,80.85,1
Female,0,No,4,No,No phone service,Yes,33.65,1
Female,0,No,36,Yes,Yes,No,55.8,0
Female,0,No,50,No,No phone service,No,39.7,0
Female,0,Yes,48,No,No phone service,No,29.5,0
Female,0,Yes,50,Yes,No,No internet service,20.15,0
Male,0,No,72,Yes,Yes,Yes,79.55,0
Male,0,Yes,10,Yes,Yes,No internet service,24.8,0
Female,0,No,18,Yes,No,No internet service,19.65,0
Male,0,No,1,Yes,No,No,79.95,1
Female,0,No,1,Yes,No,No internet service,19.3,1
Male,0,No,9,Yes,No,No,94.05,0
Male,0,No,2,Yes,Yes,Yes,90.75,0
Female,0,No,40,Yes,Yes,No,78.85,0
Male,0,No,69,Yes,Yes,No,99.5,0
Female,0,No,37,Yes,Yes,Yes,99.2,1
Male,0,Yes,18,Yes,Yes,No,80.55,0
Male,1,No,11,Yes,No,No,70.2,0
Female,0,No,8,Yes,Yes,No,85.2,1
Female,0,No,3,Yes,Yes,No,75.25,1
Male,0,Yes,55,Yes,No,Yes,59.45,0
Male,0,No,33,Yes,Yes,No,93.35,0
Female,0,No,46,Yes,No,No,44.95,0
Male,0,No,34,Yes,Yes,No internet service,26.1,0
Female,0,No,3,Yes,No,No internet service,20.2,0
Male,0,Yes,30,Yes,No,No internet service,21.25,0
Female,0,No,33,Yes,Yes,Yes,59.4,0
Male,0,Yes,45,Yes,Yes,No,95.0,0
Male,0,No,40,Yes,No,Yes,61.9,0
Female,0,No,71,Yes,Yes,Yes,118.65,0
Male,0,No,1,Yes,Yes,No,54.35,1
Female,0,Yes,72,No,No phone service,Yes,64.45,0
Female,0,Yes,22,Yes,No,No,80.15,0
Male,0,Yes,46,Yes,No,No internet service,20.2,0
Female,0,Yes,55,Yes,No,No internet service,21.0,0
Male,0,No,1,Yes,No,No internet service,20.45,0
Female,0,No,12,Yes,Yes,No,75.85,0
Male,0,No,31,Yes,Yes,No,80.45,0
Male,0,No,5,No,No phone service,No,24.95,1
Female,0,Yes,67,Yes,Yes,Yes,75.5,0
Male,0,No,1,Yes,No,No,44.45,0
Male,0,No,40,No,No phone service,Yes,42.35,1
Male,0,Yes,41,Yes,Yes,Yes,74.55,0
Male,0,No,1,Yes,Yes,No,75.3,1
Male,0,No,51,Yes,Yes,Yes,94.8,1
Male,0,Yes,42,No,No phone service,Yes,48.15,0
Male,0,Yes,23,Yes,No,No internet service,19.65,0
Female,1,No,1,Yes,No,No,70.55,1
Female,0,No,1,Yes,No,No internet service,20.15,0
Female,0,No,56,Yes,Yes,Yes,106.6,0
Male,0,Yes,15,Yes,Yes,No,91.0,0
Male,0,Yes,12,Yes,Yes,No internet service,25.4,0
Female,0,Yes,54,Yes,No,Yes,69.95,0
Female,0,No,7,Yes,No,No,66.85,0
Female,0,Yes,33,Yes,Yes,No,86.15,1
Male,0,Yes,16,Yes,No,No internet service,20.15,0
Female,0,Yes,21,Yes,No,Yes,64.85,0
Male,1,No,30,Yes,Yes,No,74.85,0
Male,0,No,3,Yes,No,No,50.5,0
Male,0,No,11,Yes,No,No,72.9,0
Female,0,No,62,Yes,Yes,Yes,115.05,0
Male,0,No,18,Yes,No,No internet service,19.0,0
Male,0,Yes,6,Yes,No,No internet service,19.55,0
Female,0,No,46,Yes,Yes,No,101.1,0
Male,0,No,21,Yes,Yes,No,84.1,0
Male,0,No,68,Yes,Yes,No internet service,24.15,0
Female,0,No,1,Yes,Yes,No,50.1,0
Female,0,No,25,Yes,No,No,74.6,0
Female,0,Yes,24,Yes,No,No internet service,19.75,0
Female,0,No,30,Yes,Yes,No,85.0,1
Female,0,No,2,Yes,No,No,80.55,1
Male,0,No,51,Yes,Yes,No,106.8,0
Female,0,Yes,57,Yes,Yes,Yes,84.5,0
Female,0,No,15,Yes,Yes,No internet service,25.05,0
Female,0,Yes,72,Yes,No,Yes,83.7,0
Female,0,No,2,Yes,No,No,75.8,1
Male,0,No,28,Yes,Yes,No,96.6,0
Male,1,No,29,Yes,Yes,No,98.5,1
Male,0,Yes,70,Yes,No,Yes,101.1,0
Female,0,No,13,Yes,No,No internet service,20.2,0
Female,1,No,59,Yes,Yes,Yes,94.05,0
Male,1,No,13,Yes,Yes,No,95.25,1
Male,1,No,7,Yes,Yes,No,74.4,1
Female,0,No,62,Yes,No,Yes,81.0,0
Female,0,No,21,Yes,No,Yes,60.25,0
Female,0,No,2,Yes,No,No,60.85,0
Female,0,No,1,Yes,No,No,43.95,0
Male,0,No,4,Yes,No,No,86.05,0
Female,0,No,19,Yes,No,No internet service,20.25,0
Female,0,No,30,Yes,No,No,85.15,1
Male,0,Yes,67,Yes,No,No internet service,19.4,0
Male,1,No,72,Yes,Yes,Yes,102.65,0
Male,0,No,53,Yes,No,No internet service,19.9,0
Female,0,No,5,Yes,No,No internet service,19.55,0
Male,1,No,71,Yes,No,No,95.5,0
Female,0,Yes,50,Yes,Yes,No,84.15,0
Male,0,Yes,56,Yes,Yes,No,103.2,0
Male,0,No,2,Yes,No,No,50.2,0
Female,1,No,2,Yes,Yes,No,88.55,1
Male,0,Yes,24,Yes,Yes,Yes,54.75,1
Male,0,Yes,46,Yes,No,No internet service,19.95,0
Male,0,No,71,Yes,Yes,Yes,116.25,0
Female,0,No,29,No,No phone service,No,31.2,0
Male,0,Yes,69,Yes,Yes,No internet service,24.45,0
Male,0,No,71,Yes,Yes,No,84.2,0
Female,1,No,1,Yes,No,No,91.3,1
Male,1,No,56,Yes,No,Yes,85.65,0
Male,0,Yes,56,Yes,No,No internet service,21.2,0
Male,0,No,1,Yes,No,No,79.5,1
Female,0,No,28,Yes,Yes,No internet service,25.55,0
Female,0,Yes,19,Yes,No,No internet service,20.2,0
Male,0,No,66,Yes,Yes,No,63.85,0
Female,0,Yes,17,Yes,Yes,No,61.95,0
Male,0,Yes,52,Yes,Yes,No internet service,25.75,0
Female,0,No,19,Yes,No,No,58.2,0
Female,0,No,36,Yes,No,Yes,85.85,0
Male,1,No,7,Yes,No,No,70.1,1
Male,0,Yes,72,Yes,Yes,Yes,104.9,0
Male,0,Yes,67,Yes,Yes,Yes,111.3,1
Male,1,No,34,Yes,No,No,99.85,0
Male,1,No,57,Yes,Yes,No,95.25,1
Female,0,No,7,Yes,No,No,86.25,1
Female,1,No,1,Yes,Yes,No,100.8,1
Male,0,No,8,Yes,No,No internet service,19.55,0
Female,0,No,69,Yes,Yes,No,104.0,0
Female,0,No,50,Yes,Yes,Yes,104.4,0
Male,0,No,10,Yes,No,No internet service,19.5,0
Female,0,Yes,12,Yes,Yes,No internet service,25.25,0
Female,0,No,14,Yes,No,No,86.3,1
Female,0,No,70,No,No phone service,Yes,49.85,0
Female,1,No,64,Yes,Yes,Yes,108.95,0
Female,0,Yes,66,Yes,Yes,Yes,89.9,0
Female,0,Yes,71,Yes,No,Yes,82.0,0
Male,1,No,20,Yes,No,No,89.95,0
Male,0,No,72,Yes,No,Yes,79.35,0
Female,0,Yes,71,Yes,No,Yes,64.05,0
Male,0,Yes,38,Yes,Yes,No,101.15,0
Female,0,No,28,Yes,Yes,No,89.95,1
Male,1,No,17,Yes,No,No,76.45,1
Male,0,No,33,No,No phone service,No,39.1,0
Female,0,Yes,23,No,No phone service,Yes,34.6,0
Male,0,Yes,58,Yes,No,No internet service,19.55,0
Female,1,No,70,Yes,Yes,No,104.45,0
Male,0,No,4,Yes,No,No,70.5,0
Male,0,Yes,45,Yes,No,No internet service,20.35,0
Male,0,No,10,Yes,No,No,70.0,1
Male,0,Yes,36,Yes,No,No internet service,19.45,0
Male,0,No,54,Yes,No,Yes,69.9,0
Male,0,Yes,23,Yes,Yes,No,59.7,0
Female,0,Yes,41,Yes,Yes,Yes,78.35,0
Male,1,No,5,Yes,No,No,71.45,0
Male,0,Yes,27,No,No phone service,No,45.85,0
Female,0,No,1,Yes,No,No,95.85,0
Female,0,Yes,67,No,No phone service,Yes,35.7,0
Female,1,Yes,72,Yes,Yes,Yes,89.55,0
Female,0,Yes,56,Yes,Yes,No internet service,24.95,0
Male,0,Yes,44,Yes,Yes,No internet service,24.85,0
Female,1,No,66,Yes,Yes,No,100.8,0
Female,0,No,34,Yes,Yes,Yes,64.4,1
Female,0,No,69,Yes,Yes,No,105.35,0
Female,0,Yes,1,Yes,Yes,Yes,102.45,1
Female,0,No,40,Yes,No,No internet service,19.65,0
Male,0,Yes,30,Yes,Yes,Yes,54.45,0
Female,0,No,11,Yes,No,No,70.5,0
Female,0,No,15,Yes,No,No internet service,20.1,0
Male,0,No,11,Yes,No,No,69.35,0
Female,0,Yes,64,Yes,No,No internet service,19.8,0
Male,1,No,72,Yes,No,Yes,74.4,0
Male,1,No,72,Yes,Yes,Yes,93.05,0
Female,0,Yes,1,Yes,No,Yes,51.2,0
Female,0,Yes,15,Yes,No,Yes,65.6,0
Female,0,No,60,Yes,Yes,No,80.55,0
Male,0,No,56,Yes,No,Yes,52.7,0
Female,0,No,8,Yes,No,No internet service,20.85,0
Female,0,No,3,Yes,No,No,80.1,1
Female,0,No,49,Yes,Yes,No,52.15,0
Female,0,No,2,Yes,No,No,80.2,1
Female,0,No,6,Yes,No,Yes,98.15,1
Male,0,No,70,Yes,Yes,Yes,114.95,0
Male,0,No,12,Yes,Yes,No,112.95,1
Male,1,No,52,Yes,No,Yes,104.45,0
Female,0,No,72,Yes,Yes,Yes,113.65,0
Female,0,No,40,Yes,No,No internet service,20.6,0
Female,0,No,1,Yes,No,No,70.9,1
Female,1,No,3,Yes,No,No,86.85,1
Female,1,No,40,Yes,No,No,91.55,0
Male,0,Yes,1,Yes,No,No,49.85,0
Male,0,No,30,Yes,No,No internet service,19.8,0
Male,0,Yes,23,Yes,No,Yes,99.85,1
Male,0,Yes,1,Yes,Yes,No,74.5,1
Female,1,No,44,Yes,Yes,No,104.15,0
Male,0,No,65,Yes,Yes,No,109.15,1
Female,1,No,7,Yes,No,Yes,48.2,0
Male,1,No,72,Yes,Yes,No internet service,25.1,0
Female,1,No,8,Yes,Yes,No,100.15,0
Female,0,No,16,Yes,Yes,No,65.2,1
Male,1,Yes,66,Yes,Yes,No,99.5,1
Male,0,No,1,Yes,No,No,71.55,1
Male,0,Yes,3,Yes,No,Yes,55.9,0
Male,0,No,53,Yes,Yes,Yes,93.9,1
Male,1,No,8,Yes,No,No,64.4,0
Male,1,No,69,Yes,Yes,No,108.4,1
Female,0,No,5,Yes,No,No,85.3,0
Female,0,Yes,72,Yes,Yes,Yes,107.45,0
Female,0,No,13,No,No phone service,No,48.75,1
Female,0,No,4,Yes,Yes,No,85.65,1
Female,0,Yes,54,Yes,Yes,Yes,91.3,0
Male,0,No,72,Yes,Yes,No,85.95,0
Male,0,No,12,Yes,Yes,No,106.7,1
Male,0,No,1,No,No phone service,No,25.15,1
Male,1,No,1,Yes,No,No,45.2,0
Female,0,No,54,Yes,Yes,No,110.35,1
Male,0,Yes,69,Yes,Yes,No,79.2,0
Female,0,No,48,Yes,No,Yes,55.5,0
Female,0,Yes,48,Yes,Yes,Yes,103.25,1
Female,0,No,8,Yes,Yes,No,90.25,0
Male,0,Yes,71,Yes,Yes,Yes,91.25,0
Male,0,No,2,Yes,No,Yes,47.8,1
Male,0,No,67,Yes,No,Yes,100.9,0
Male,0,Yes,34,Yes,Yes,No,97.7,0
Female,0,No,3,Yes,No,No,69.85,0
Female,0,Yes,9,Yes,No,No,65.6,0
Male,0,Yes,71,Yes,No,Yes,104.65,0
Male,0,No,57,Yes,Yes,No,90.45,0
Male,0,No,72,No,No phone service,Yes,63.7,0
Female,1,Yes,48,Yes,No,Yes,104.5,0
Male,0,No,18,Yes,No,No internet service,20.1,0
Male,0,Yes,43,Yes,Yes,No,104.3,0
Female,0,Yes,72,Yes,Yes,Yes,93.25,0
Male,0,Yes,35,Yes,Yes,No,73.45,0
Male,0,No,4,Yes,No,No internet service,20.7,0
Female,0,Yes,49,Yes,Yes,No internet service,25.25,0
Female,0,Yes,71,Yes,Yes,Yes,100.5,0
Male,0,Yes,11,Yes,No,No,90.6,0
Male,0,Yes,63,Yes,Yes,Yes,89.4,0
Female,1,No,65,Yes,Yes,No,95.45,0
Female,0,Yes,49,Yes,No,No internet service,20.45,0
Female,0,No,29,Yes,Yes,No,98.6,1
Female,1,No,15,Yes,Yes,No,83.05,1
Female,0,Yes,4,Yes,No,No internet service,19.95,0
Female,0,No,72,Yes,Yes,No,109.15,0
Female,1,No,26,Yes,No,No,85.7,0
Female,1,No,35,Yes,Yes,No,102.05,0
Female,0,No,57,Yes,Yes,No,94.7,0
Male,0,Yes,28,Yes,Yes,No,64.4,0
Female,0,No,25,Yes,Yes,No internet service,26.8,0
Female,0,No,47,Yes,No,Yes,66.05,0
Female,0,Yes,57,Yes,Yes,Yes,65.2,0
Male,1,No,16,Yes,Yes,No,85.05,0
Male,0,No,5,Yes,No,Yes,55.8,0
Male,0,No,17,Yes,No,No,70.4,1
Female,1,No,56,Yes,Yes,No,104.75,1
Male,0,Yes,72,Yes,No,No internet service,19.95,0
Female,1,No,21,Yes,Yes,No,94.25,1
Female,0,Yes,48,No,No phone service,Yes,45.0,0
Female,0,No,68,Yes,Yes,Yes,114.9,0
Female,0,No,30,Yes,Yes,Yes,106.4,0
Female,0,No,3,Yes,No,No,46.1,0
Female,1,No,14,No,No phone service,Yes,39.7,0
Female,0,Yes,4,Yes,No,No internet service,20.05,0
Female,0,Yes,71,Yes,Yes,No,95.75,0
Male,0,Yes,8,Yes,Yes,No internet service,24.4,0
Male,0,Yes,61,No,No phone service,Yes,33.6,0
Male,0,Yes,72,Yes,Yes,No,90.45,0
Female,0,No,5,Yes,Yes,No,84.0,0
Female,0,No,49,Yes,No,Yes,67.4,0
Male,0,No,8,Yes,No,No internet service,19.7,0
Male,0,No,3,Yes,No,No,80.35,0
Male,0,Yes,9,Yes,No,No internet service,19.6,0
Male,0,Yes,67,Yes,No,Yes,54.2,0
Male,0,No,46,Yes,No,No,45.2,0
Female,0,No,67,Yes,Yes,Yes,75.1,0
Female,0,No,55,Yes,No,No internet service,19.7,0
Male,0,No,33,Yes,Yes,Yes,72.75,0
Male,0,Yes,62,Yes,No,No internet service,20.05,0
Female,0,Yes,1,Yes,No,No,45.95,1
Male,0,Yes,49,No,No phone service,Yes,39.2,0
Male,0,No,1,Yes,No,No,44.75,0
Male,0,No,14,Yes,Yes,No,82.65,0
Male,1,No,18,Yes,Yes,No,93.9,0
Female,1,No,1,Yes,No,No,70.15,1
Female,0,No,1,Yes,No,No,85.55,1
Female,0,No,72,Yes,Yes,Yes,117.15,0
Male,0,No,64,Yes,Yes,Yes,99.25,0
Male,0,No,69,Yes,Yes,Yes,112.55,0
Female,0,No,1,Yes,Yes,No internet service,25.7,0
Male,0,Yes,71,Yes,Yes,Yes,90.3,0
Female,0,Yes,66,Yes,No,No,49.4,0
Male,0,No,2,Yes,No,No internet service,19.4,0
Female,1,No,71,Yes,No,Yes,109.7,0
Male,0,No,11,Yes,No,No,61.25,0
Male,0,Yes,47,Yes,No,Yes,55.3,0
Female,0,No,35,Yes,No,No,70.3,1
Male,1,No,32,Yes,Yes,No,106.35,1
Male,0,Yes,60,Yes,Yes,No,103.75,0
Male,0,No,11,Yes,No,No internet service,19.5,0
Female,0,No,29,No,No phone service,Yes,39.5,0
Male,0,Yes,21,No,No phone service,No,26.05,0
Male,1,No,48,Yes,Yes,No,91.05,0
Female,0,Yes,3,No,No phone service,No,29.65,0
Female,0,Yes,43,Yes,No,No,50.2,0
Male,0,No,5,Yes,Yes,No,105.3,0
Female,0,No,1,Yes,No,No,55.45,0
Male,0,Yes,71,Yes,Yes,Yes,85.45,0
Female,0,Yes,8,Yes,No,No internet service,19.8,0
Male,0,No,8,Yes,Yes,No,59.25,0
Male,0,No,20,Yes,Yes,No,90.7,0
Female,0,Yes,33,Yes,Yes,Yes,103.7,1
Male,0,No,71,Yes,Yes,No,79.05,0
Female,1,No,31,Yes,Yes,No,90.7,0
Female,1,No,38,Yes,Yes,Yes,95.0,0
Male,0,No,1,Yes,No,No,88.35,1
Female,0,Yes,2,No,No phone service,No,30.25,0
Female,0,No,12,No,No phone service,No,49.85,0
Female,0,Yes,9,Yes,No,Yes,93.0,0
Male,1,Yes,11,Yes,No,No,54.55,0
Male,0,Yes,6,Yes,No,No internet service,19.7,0
Female,0,No,71,Yes,No,Yes,84.8,0
Female,0,Yes,42,Yes,Yes,Yes,94.45,0
Female,0,Yes,8,Yes,No,No,94.2,1
Female,0,No,5,Yes,No,No,96.25,1
Female,0,No,2,Yes,No,No,70.7,1
Female,0,Yes,45,Yes,No,No internet service,20.85,0
Male,0,Yes,28,No,No phone service,No,60.0,0
Female,0,No,43,Yes,Yes,No,80.45,0
Male,0,Yes,60,Yes,Yes,Yes,84.95,0
Female,0,No,42,No,No phone service,No,33.55,1
Male,0,Yes,7,No,No phone service,Yes,49.65,0
Female,0,No,25,Yes,No,No internet service,20.2,0
Female,1,Yes,40,Yes,Yes,No,94.55,1
Male,0,No,27,Yes,Yes,No,100.5,0
Male,0,No,10,No,No phone service,No,35.75,0
Female,1,No,27,Yes,Yes,No,86.45,0
Female,0,No,11,Yes,No,No,53.8,0
Male,0,Yes,4,No,No phone service,Yes,38.55,0
Male,0,No,68,No,No phone service,No,39.9,0
Male,1,No,1,Yes,No,No,70.05,0
Female,0,No,18,Yes,No,No internet service,20.1,0
Female,0,No,57,Yes,Yes,Yes,112.95,1
Male,0,No,26,Yes,No,No internet service,20.3,0
Female,0,No,17,No,No phone service,No,35.65,0
Male,0,No,1,No,No phone service,No,35.9,1
Male,0,Yes,38,Yes,Yes,No,99.25,1
Male,1,No,59,Yes,No,Yes,82.95,0
Male,0,No,30,Yes,No,Yes,55.65,0
Male,1,No,2,No,No phone service,No,24.45,1
Female,1,No,50,Yes,Yes,No internet service,25.2,0
Male,0,No,9,No,No phone service,Yes,50.8,0
Female,0,Yes,3,Yes,No,No internet service,19.65,0
Female,0,Yes,14,Yes,No,No,59.8,0
Female,1,No,31,Yes,No,Yes,73.55,0
Female,0,No,7,Yes,No,Yes,61.4,0
Female,0,No,8,Yes,Yes,Yes,103.35,1
Male,0,Yes,17,Yes,No,No internet service,19.9,0
Male,0,Yes,32,Yes,No,No internet service,19.45,0
Female,1,No,2,Yes,No,No,81.5,0
Male,1,No,7,Yes,Yes,No,84.8,1
Female,0,Yes,72,Yes,Yes,Yes,109.55,0
Female,1,No,31,Yes,Yes,No,99.95,1
Female,0,Yes,27,Yes,No,Yes,74.4,0
Female,0,No,18,Yes,Yes,No,90.0,1
Male,0,No,7,Yes,No,No,74.9,0
Female,1,No,14,Yes,Yes,No,104.85,1
Male,0,Yes,11,Yes,No,No,59.65,0
Female,0,Yes,72,Yes,Yes,Yes,110.45,0
Male,0,Yes,28,Yes,Yes,Yes,106.1,1
Male,1,No,15,Yes,Yes,No,74.2,1
Female,1,No,4,Yes,Yes,No,74.45,0
Female,0,No,71,Yes,Yes,No internet service,24.55,0
Female,0,No,5,Yes,No,No,89.35,1
Male,0,Yes,47,Yes,Yes,No internet service,24.55,0
Male,1,No,57,Yes,No,No,90.65,0
Male,1,No,50,Yes,Yes,Yes,105.05,0
Male,0,No,8,Yes,No,No internet service,20.45,0
Female,0,Yes,48,Yes,No,No internet service,19.55,0
Female,0,No,70,Yes,No,No internet service,19.7,0
Male,0,Yes,1,Yes,No,Yes,70.45,0
Male,0,No,8,Yes,Yes,No,85.65,0
Female,0,No,1,Yes,Yes,No,77.15,1
Male,0,No,1,No,No phone service,No,35.25,1
